Site,Median,Mean,p-value
1,0.10811995607400976,0.08443472563770321,0.033715411427063205
2,0.004161490751647698,0.02305897829022747,0.5236298533942374
3,0.016848200355180035,0.03473201637116382,0.15047563097966304
4,0.17181032841490848,0.1488034190070102,1.659328472540585e-4
5,-0.02122105020558942,-0.05100987752766561,0.11109291104059689
6,-0.04832415406100585,-0.05244223121750379,0.0508604972434312
7,-0.04461789677576608,-0.05867823022705957,0.0029852196578796465
8,-0.06641889064630543,0.001953430744544056,0.6684971076031234
9,0.025654628701646982,0.030334741505178467,0.15911135588927378
10,-0.04055338031989866,-0.030377034431778246,0.05320406003820751
11,0.06609944029492373,0.059350069260077964,5.501291172103207e-4
12,0.003430490876780267,-0.006905736060159589,0.9533329774776272
