Site,env1,env2,env3,env4,env5,env6,env7,env8,env9,cumul_pos
1,6.9,7.8999999999999995,1.4,0,2.9,2.2,6.1000000000000005,2.5,3.0999999999999996,33
2,0,4.3999999999999995,15.1,4.6,0.7,0,0.9,11.497500000000002,0,37.1975
3,3,11.7,2.6,0,1.5925000000000074,1.5,1.5,9.1,1.4,32.392500000000005
4,2.8,0.7,0,0.5,4.199999999999999,1.4,0,2.8,4.8999999999999995,17.299999999999997
5,0.9,0,0,4.6,0,0,2.9999999999999996,0,0,8.5
6,0,0,0,2.3999999999999995,0,0,0,0.6,0,2.9999999999999996
7,0,0,4.8999999999999995,0,0,0,0,0,0,4.8999999999999995
8,0,7.3,0,0,0,0,0,0,2.5999999999999996,9.899999999999999
9,1.2,12.595000000000017,0,0,2.9,3.417499999999984,0.7,13.2,1.5,35.5125
10,0,0,0,0,4.3,0,0,0.7,0,5
11,15.1,8.2,12.6,3.5,11.8,6.3999999999999995,7.8999999999999995,17.1,11.490000000000032,94.09000000000003
12,0,0,1.9,0,0,0,0,0,0,1.9
