Site,Median,Median_0.1,Median_0.2,Median_0.3
1,-2.626469375970698e-15,0.09091901536335095,0.054235830574998006,0.05165208464181008
2,0.04266412386021127,0.06552142394528096,0.06473966565631105,0.0670121881657371
3,0.047772158314284226,0.07125556563341048,0.0785146581363193,0.08134381688061403
4,0.16336774317658165,0.1425383337137101,0.14901091610630315,0.15590310325192103
5,-0.02004007741181892,-0.04494513399528777,-0.02550841276014976,-0.02926310587201683
6,-0.02744719944448063,-0.01862339963896081,-0.01692960681915991,-0.01628888681724109
7,-0.055716606718557216,-0.08491631687451719,-0.06554114109139589,-0.04363881370783672
8,-0.08737824335874787,-0.08737824335874787,-0.08737824335874787,-0.08737824335874787
9,0.03241283215051859,-0.02569788779078628,-0.02646253166036708,-0.029111351597389236
10,-0.07246931295184278,-0.06041889186047992,-0.06268914665088583,-0.06398665400905743
11,0.045930921505666016,0.03519400926456005,0.03670438189015671,0.0573386873049416
12,-0.10267894648967481,-0.08847850960755083,-0.08847850960755083,-0.08847850960755083
